CA Number,Survey Duration,Q-1_Name of the Apartment,Q_5_Floor No,Q-6_Does your bedroom has any of the following characteristics?,Q-9_Apartment Type_bhk,Q-10_adults,Q-10_Children,Q-15-No of Acs,Q-16_No of Refrigerators,Q-17_No of Geysers,Q-18_No of Fans,Q-18_No of Washing Machine,Total Residents
90,765,Anandlok,3,Southfacing,3,3,0,2.0,1,1.0,5,1.0,3
136,773,Anandlok,4,Southfacing,4,3,0,3.0,1,1.0,7,1.0,3
165,795,Anandlok,2,None,3,4,0,2.0,1,1.0,6,1.0,4
19,798,Anandlok,5,Southfacing,3,2,0,3.0,1,2.0,5,1.0,2
88,801,Una,0,None,2,3,0,1.0,1,1.0,4,1.0,3
35,803,Una,0,Southfacing,3,4,0,4.0,1,2.0,6,1.0,4
20,804,Anandlok,2,Southfacing,3,5,0,3.0,1,2.0,5,1.0,5
61,819,Una,1,None,2,3,2,1.0,1,1.0,5,1.0,5
163,850,Anandlok,1,None,3,4,0,1.0,1,2.0,4,1.0,4
164,853,Anandlok,3,Southfacing,3,2,1,4.0,1,1.0,5,1.0,3
79,859,Una,0,Southfacing,2,3,0,3.0,1,2.0,6,1.0,3
5,861,Anandlok,0,Southfacing,3,2,0,4.0,2,2.0,7,1.0,2
168,864,Anandlok,4,Southfacing,3,4,2,4.0,1,3.0,5,1.0,6
117,865,Una,1,Southfacing,2,3,0,1.0,1,1.0,4,1.0,3
8,935,Anandlok,6,Southfacing,2,3,0,2.0,1,1.0,4,1.0,3
46,954,Una,1,None,2,5,1,2.0,1,1.0,4,1.0,6
161,960,Anandlok,7,Southfacing,3,4,0,3.0,1,1.0,6,1.0,4
91,964,Anandlok,1,Southfacing,3,1,0,4.0,1,1.0,5,1.0,1
160,969,Una,2,Southfacing,3,3,1,3.0,1,1.0,4,1.0,4
28,977,Una,1,Southfacing,3,1,0,4.0,1,1.0,5,1.0,1
152,988,Una,1,Southfacing,3,4,0,1.0,1,1.0,5,1.0,4
83,1001,Anandlok,2,Southfacing,3,2,1,2.0,1,1.0,5,1.0,3
138,1019,Anandlok,7,None,3,4,1,3.0,1,2.0,6,1.0,5
15,1039,Anandlok,5,Southfacing,3,3,0,2.0,1,1.0,5,1.0,3
153,1057,Anandlok,2,None,3,4,0,4.0,1,2.0,1,1.0,4
101,1133,Anandlok,1,Southfacing,3,4,0,4.0,1,1.0,5,1.0,4
150,1161,Anandlok,1,None,3,2,2,4.0,1,2.0,4,1.0,4
115,1162,Anandlok,3,None,2,2,0,3.0,2,1.0,3,,2
3,1175,Anandlok,6,None,3,2,0,1.0,1,2.0,6,1.0,2
158,1216,Una,2,Southfacing,2,4,0,2.0,1,1.0,6,1.0,4
107,1219,Anandlok,1,Southfacing,3,4,0,3.0,1,3.0,6,1.0,4
103,1239,Anandlok,2,Southfacing,3,2,0,3.0,1,1.0,5,1.0,2
26,1277,Anandlok,3,Southfacing,2,4,0,2.0,1,1.0,5,1.0,4
102,1335,Anandlok,1,Southfacing,3,1,0,3.0,1,2.0,5,1.0,1
18,1432,Anandlok,7,Southfacing,3,2,1,2.0,1,1.0,5,1.0,3
148,1468,Anandlok,3,None,2,2,0,4.0,1,2.0,5,1.0,2
111,1503,Anandlok,2,Southfacing,3,5,0,3.0,1,3.0,5,1.0,5
176,1595,Anandlok,1,Southfacing,3,3,0,3.0,1,2.0,8,1.0,3
127,1605,Anandlok,2,None,3,5,1,4.0,1,1.0,5,1.0,6
92,2307,Anandlok,3,Southfacing,4,3,0,,1,1.0,4,1.0,3
